"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport"
93285,"Rutland_VOR-DME_US","RUT","Rutland","VOR-DME",111000,43.5265998840332,-72.95069885253906,781,"US",111000,"047X",,,,-15.009,-14.476,"TERMINAL","LOW","KRUT"
93292,"Roervik_VOR-DME_NO","RVK","Roervik","VOR-DME",112700,64.8375015258789,11.14680004119873,70,"NO",112700,"074X",,,,-1.001,1.235,"BOTH","HIGH","ENRM"
93300,"Redwood_Falls_VOR-DME_US","RWF","Redwood Falls","VOR-DME",113300,44.467201232910156,-95.12830352783203,1060,"US",113300,"080X",,,,7.001,2.557,"BOTH","HIGH",
93301,"Rawlins_VOR-DME_US","RWL","Rawlins","VOR-DME",109400,41.8047981262207,-107.2040023803711,6750,"US",109400,"031X",,,,13.001,10.591,"LO","LOW",
93304,"Mount_Mary_VOR-DME_NZ","RY","Mount Mary","VOR-DME",112500,-44.135101318359375,170.281005859375,2496,"NZ",112500,"072X",,,,23.007,23.254,"BOTH","HIGH","NZUK"
93307,"Villa_Reynolds_VOR-DME_AR","RYD","Villa Reynolds","VOR-DME",115700,-33.728599548339844,-65.381103515625,1591,"AR",115700,"104X",,,,0.007,-1.095,"BOTH","HIGH","SAOR"
93311,"Rayong_VOR-DME_TH","RYN","Rayong","VOR-DME",112500,12.780099868774414,101.6780014038086,11,"TH",112500,"072X",,,,0.007,-0.289,"BOTH","HIGH",
93317,"Razorback_VORTAC_US","RZC","Razorback","VORTAC",116400,36.24639892578125,-94.12139892578125,1331,"US",116400,"111X",,,,4.001,2.468,"BOTH","HIGH",
93318,"Rzeszow_VOR-DME_PL","RZE","Rzeszow","VOR-DME",116200,50.109901428222656,22.098899841308594,689,"PL",116200,"109X",,,,3.007,4.19,"BOTH","HIGH","EPRZ"
93320,"Siren_VOR-DME_US","RZN","Siren","VOR-DME",109400,45.82040023803711,-92.37449645996094,987,"US",109400,"031X",,,,2.001,0.194,"LO","MEDIUM",
93322,"San_Marcus_VORTAC_US","RZS","San Marcus","VORTAC",114900,34.509498596191406,-119.77100372314453,3620,"US",114900,"096X",,,,14.004,13.299,"BOTH","HIGH","KSBA"
93350,"Sanaa_VOR-DME_YE","SAA","Sanaa","VOR-DME",116100,15.5,44.22060012817383,7237,"YE",116100,"108X",15.5,44.219,7237,1.007,1.435,"BOTH","HIGH","OYSN"
93352,"St.aAbs_VOR-DME_GB","SAB","St.aAbs","VOR-DME",112500,55.907501220703125,-2.206389904022217,760,"GB",112500,"072X",,,,-5.001,-3.55,,,
93354,"Sacramento_VORTAC_US","SAC","Sacramento","VORTAC",115200,38.443599700927734,-121.552001953125,10,"US",115200,"099X",,,,17.001,14.478,"BOTH","HIGH","KSAC"
